"GeneID"	"EPI_ADIPO_KO_840"	"EPI_ADIPO_KO_843"	"EPI_ADIPO_KO_857"	"EPI_ADIPO_KO_891"	"EPI_ADIPO_WT_841"	"EPI_ADIPO_WT_842"	"EPI_ADIPO_WT_858"	"EPI_ADIPO_WT_892"
"ENSMUSG00000100526.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000100544.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000100140.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000100115.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000100805.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000101425.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000100694.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000101134.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000101713.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000101627.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000100653.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000101440.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000104442.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000102119.6"	0	0	0	0	0	0	0	0
"ENSMUSG00000101080.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000100885.1"	0	0	7.48995655481328	0	0	0	0	0
"ENSMUSG00000101393.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000101598.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000101861.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000099716.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000101313.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000100809.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000099829.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000100607.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000099395.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000101256.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000099778.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000100126.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000100333.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000101507.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000101569.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000101539.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000100452.1"	0	0	0	0	0	0	0	0
